DATE,Num-CDE,CLIENT_ID,SEX,BIRTH,ID_PROD,PRICE_mensuel, Durée total,CATEG
2017-01-12,602709,80033,F,1989,274745,"193,48",49,0
2020-10-15,755279,155250,F,1978,14531,"405,4",31,0
2020-10-14,752849,140344,M,1979,165540,"422,17",31,0
2020-10-14,762646,165402,M,1965,192734,"423,33",31,0
2020-10-14,766855,207795,M,1965,277795,"236,19",43,0
2020-10-14,749531,137352,M,1960,192994,"351,24",43,0
2020-10-14,752966,176284,M,1969,15171,"352,69",31,0
2020-10-13,770132,163072,M,1974,194671,"388,26",19,0
2020-10-13,753517,151590,M,1973,126927,"465,3",31,0
2020-10-13,762947,140344,M,1963,194695,"321,71",43,0
2020-10-13,766274,152955,M,1981,194695,"239,51",43,0
2020-10-13,768203,133666,M,1995,194805,"335,42",37,0
2020-10-13,764231,161606,M,1965,85049,"239,74",43,0
2020-10-12,772236,150813,M,1986,196569,"478,74",34,0
2020-10-12,767234,163072,M,1979,165567,"279,64",55,0
2020-10-12,768037,175333,M,1960,194698,"381,69",31,0
2020-10-12,774165,151590,F,1986,127697,"395,61",31,0
2020-10-12,774052,161606,M,1965,260976,"256,07",43,0
2020-10-12,772196,151590,M,1961,85506,"362,05",31,0
2020-10-12,757586,133666,M,1965,193150,"257,65",37,0
2020-10-11,762065,160689,M,1988,277282,"466,85",28,0
2020-10-11,758572,152955,M,1965,234344,"198,01",28,0
2020-10-11,765109,163534,M,1987,14935,"590,9",22,0
2020-10-11,763457,156370,M,1964,14926,"2020,79",13,0
2020-10-15,760782,142707,M,1970,194679,"495,29",31,0
2020-10-11,738749,154277,M,2001,231902,"254,72",43,0
2020-10-15,750103,175333,M,1961,194675,"232,42",31,0
2020-10-15,759327,156075,M,1974,234261,"625,39",31,0
2020-10-21,751856,207795,M,1975,276590,"374,1",43,0
2020-10-21,763699,130805,M,1968,194697,"444,27",31,0
2020-10-21,736301,133666,M,1978,32947,"493,34",37,0
2020-10-21,755489,223829,F,1953,194751,"297,28",55,0
2020-10-20,758808,203910,M,1978,194692,"401,04",22,0
2020-10-20,753548,176284,F,1959,14197,"263,9",31,0
2020-10-20,756171,175333,M,1965,194700,"284,85",31,0
2020-10-20,730754,161361,M,1965,164679,"279,03",31,0
2020-10-19,761998,168832,M,1982,15085,"798,54",31,0
2020-10-19,719244,133666,M,1971,294559,"824,12",37,0
2020-10-19,741678,176284,M,1967,165609,"250,88",31,0
2020-10-19,730726,161361,M,1965,164684,"446,83",31,0
2020-10-19,760395,205533,M,1973,14007,"477,91",31,0
2020-10-19,754308,177084,M,1991,194666,"302,54",31,0
2020-10-19,759252,175333,M,1983,14197,"372,9",31,0
2020-10-19,755938,155250,F,1966,277798,"433,44",31,0
2020-10-18,755833,176284,M,1981,15131,"307,74",31,0
2020-10-18,758489,141289,M,1964,188544,"412,91",43,0
2020-10-18,733623,176284,F,1958,165605,169,31,0
2020-10-15,760334,152955,M,2001,234372,"169,27",25,0
2020-10-15,766691,130805,M,1963,194824,"598,14",19,0
2020-10-15,766523,162775,M,1971,194692,"452,42",31,0
2020-10-15,767030,150813,M,1960,194699,"298,26",55,0
2020-10-15,751361,137352,M,1977,194695,"516,83",27,0
2020-10-21,756201,176284,M,1971,14197,"324,29",31,0
2020-10-11,773579,161606,F,1965,234001,"267,57",43,0
2020-10-09,753011,132948,F,1981,194697,"457,39",36,0
2020-10-05,731264,145271,M,1961,165587,"271,03",43,0
2020-10-04,732641,156075,M,1972,34828,"458,09",31,0
2020-10-04,730180,176284,M,1970,14352,"357,81",31,0
2020-09-30,750498,162349,F,1961,15022,"586,06",31,0
2020-09-30,763451,207795,M,1996,277795,"238,6",43,0
2020-09-30,763439,207795,M,1975,277795,"246,72",43,0
2020-09-30,773507,205329,M,1980,188535,"759,72",25,0
2020-09-28,733463,176284,M,1973,165605,"211,23",31,0
2020-09-28,763484,207795,M,1981,277939,"352,39",43,0
2020-09-28,747284,164126,M,1900,186837,"297,22",31,0
2020-09-28,773033,224238,M,1973,52709,"114,72",55,0
2020-09-28,758292,132948,F,1961,194697,"646,92",21,0
2020-09-27,768098,224135,F,1969,52709,"173,61",55,0
2020-09-27,752351,133666,F,1967,294559,"691,47",37,0
2020-09-27,741195,137352,M,1987,192986,"337,97",43,0
2020-09-27,762715,146576,M,1969,194692,"511,57",31,0
2020-09-27,752330,159886,M,1965,164277,"244,25",31,0
2020-09-27,736320,186441,M,1965,165660,"395,96",67,0
2020-09-27,756297,152955,M,1965,194695,"290,29",25,0
2020-09-27,730959,161361,M,1965,164667,"243,33",31,0
2020-09-24,764139,142707,F,1983,191994,"648,24",21,0
2020-09-24,762311,142707,F,1964,307805,"510,94",31,0
2020-09-24,751373,205533,F,1982,277290,"393,15",35,0
2020-10-05,740058,207795,F,1964,14589,"409,91",43,0
2020-10-09,730775,161361,M,1965,164679,"383,78",28,0
2020-10-05,748018,73757,M,1993,233675,"436,05",25,0
2020-10-05,735669,205776,M,1965,164670,"277,51",31,0
2020-10-09,771152,224203,F,1991,307867,"259,7",55,0
2020-10-09,718301,203910,M,1989,294519,"558,12",22,0
2020-10-09,729280,176284,F,1970,165605,"180,12",31,0
2020-10-09,751294,207795,M,1980,14530,"275,05",43,0
2020-10-09,718154,152955,M,1965,191280,"245,43",37,0
2020-10-08,735838,205776,M,1965,164673,"282,71",19,0
2020-10-08,730769,161361,M,1965,164679,"408,13",25,0
2020-10-08,736066,162349,M,1970,14797,"708,38",31,0
2020-10-08,752411,131118,M,1970,14554,"457,85",31,0
2020-10-08,733929,205776,M,1965,164684,"357,85",19,0
2020-10-06,745528,133666,M,1986,276219,"276,33",37,0
2020-10-06,734069,205776,M,1965,164690,"202,85",31,0
2020-10-06,731854,133666,F,1970,276590,"327,97",37,0
2020-10-06,734782,205776,M,1965,164670,"152,97",31,0
2020-10-06,735366,205776,M,1965,164670,"267,61",31,0
2020-10-06,733712,135383,M,1962,294428,"1075,06",31,0
2020-10-06,740220,149456,M,1965,192872,"515,07",22,0
2020-10-06,733904,205776,M,1965,164670,"188,8",31,0
2020-10-06,733815,205776,M,1965,164673,"200,01",31,0
2020-10-05,716933,152955,M,2001,191280,"402,83",28,0
2020-10-05,729329,176284,M,1973,165605,"180,12",31,0
2020-10-05,734026,176284,M,1975,14126,"486,11",31,0
2020-10-05,735839,176284,M,1973,165609,"266,51",31,0
2020-10-05,737481,176284,M,1974,186839,"375,54",31,0
2020-09-24,749572,137352,M,1987,192986,"339,43",43,0
2020-10-22,762905,175333,F,1972,15220,"508,59",31,0
2020-10-22,764348,161606,F,1965,194670,300,43,0
2020-11-11,760701,176675,M,1966,192989,"277,8",31,0
2020-11-11,752819,154274,M,1975,165650,"232,78",55,0
2020-11-11,760734,176675,M,1976,192989,"277,8",31,0
2020-11-11,747358,146362,M,1981,294230,"696,82",43,0
2020-11-11,760708,176675,M,1965,192989,"277,8",31,0
2020-11-11,762912,176284,M,1977,194699,"311,98",31,0
2020-11-11,775030,176669,M,1969,15114,"408,1",31,0
2020-11-10,753524,151590,M,1979,126927,"381,09",31,0
2020-11-10,745121,171000,F,1984,293974,"431,94",31,0
2020-11-10,763091,163072,M,1971,165567,"260,88",31,0
2020-11-10,753520,151590,F,1975,126927,"315,59",31,0
2020-11-10,764351,161606,M,1965,165562,"330,43",43,0
2020-11-10,766772,162406,F,1968,277795,"254,16",43,0
2020-11-10,747749,140883,F,1960,294559,"844,47",43,0
2020-11-10,749313,146576,M,1986,277491,"493,64",31,0
2020-11-10,746234,176284,M,1973,165609,"331,94",31,0
2020-11-10,755375,177084,F,1965,187285,"264,04",31,0
2020-11-08,744271,176284,M,1970,14076,"418,36",31,0
2020-11-08,751265,207795,M,1991,14514,"238,33",43,0
2020-11-08,753539,133666,F,1978,14553,"281,15",37,0
2020-11-08,734088,205776,M,1965,164673,"226,9",19,0
2020-11-08,740792,207795,M,1977,277274,"283,39",43,0
2020-11-08,733809,205776,M,1965,164673,"222,12",19,0
2020-11-12,776734,162349,M,1968,196520,"289,53",43,0
2020-11-08,755208,176284,M,1964,14577,"342,03",31,0
2020-11-15,754323,203910,M,1993,194692,"362,31",34,0
2020-11-15,772922,73757,M,1971,233675,"694,39",10,0
2020-11-23,765267,176675,M,1994,192989,"281,62",31,0
2020-11-23,765283,176675,M,1976,192989,"287,05",31,0
2020-11-22,764688,130805,M,1967,194694,"488,13",31,0
2020-11-22,775800,142707,F,1972,196571,"640,66",21,0
2020-11-22,756836,177084,F,1965,14569,"356,42",43,0
2020-11-22,757503,155250,M,1961,14878,"648,39",31,0
2020-11-22,774673,161606,M,1965,86323,"234,66",43,0
2020-11-22,758404,74645,M,1961,307792,"519,25",43,0
2020-11-22,756905,177084,F,1965,167203,"362,3",31,0
2020-11-22,749161,206100,F,1971,277290,"87,08",34,0
2020-11-22,746796,206100,M,1964,277290,"87,08",34,0
2020-11-22,772530,147751,F,1969,15332,"387,29",31,0
2020-11-22,765788,207795,M,1971,277796,284,43,0
2020-11-22,746793,206100,F,1972,277290,"87,08",34,0
